Name,Short,Gender,Debut,Company,Members,Orig Member number,Fanclub Name,Active
Block B,,Male,15/04/2011,KQ,7,7,BBC,Yes
Bloomy,,Female,1/02/2016,DS,4,4,,Yes
Bob Girls,,Female,10/06/2014,Chrome,4,4,,No
Bolbbalgan4,BOL4,Female,22/04/2016,Shofar,1,2,,Yes
Bonus Baby,,Female,1/01/2017,Maroo,6,6,,No
BOTOPASS,,Female,26/08/2020,WKS ENE,8,8,,Yes
Boyfriend,,Male,26/05/2011,Starship,6,6,Bestfriend,No
BOYNEXTDOOR,,Male,30/05/2023,KOZ,6,6,,Yes
Boys Republic,,Male,3/06/2013,Happy Tribe| Universal,5,5,Royal Family,Hiatus
Brave Girls,,Female,8/04/2011,Brave,4,5,,Yes
Brown Eyed Girls,B.E.G.,Female,2/03/2006,Mystic,4,4,Everlasting,Yes
BtoB,,Male,21/03/2012,Cube,6,7,Melody,Yes
BTS,Bangtan Boys,Male,13/06/2013,Big Hit,7,7,ARMY,Yes
bugAboo,,Female,25/10/2021,A team,6,6,,No
Bulldok,,Female,20/10/2016,Kconic,5,3,,No
Busters,,Female,27/11/2017,JTG,5,5,Bu-Chu,Yes
BVNDIT,,Female,10/04/2019,MNH,5,5,,Yes
BXB,,Male,30/01/2023,Wolfburn,5,5,,Yes
BXK,Boys X King,Male,2/11/2020,New Planet,6,6,,Yes
Camila,,Female,29/08/2018,Camila,3,3,,No
C-Clown,,Male,19/06/2012,Yedang,6,6,Crown,No
Cherry Bullet,,Female,21/01/2019,FNC,7,10,,Yes
Cherry On Top,,Female,9/08/2018,United,4,4,,No
ChoColat,,Female,16/08/2011,Paramount,5,5,Chocolatier,No
CICI,,Male,27/06/2019,UPVOTE,4,4,,No
cignature,,Female,4/02/2020,C9,7,7,,Yes
Ciipher,,Male,15/03/2021,Rain,7,7,,Yes
CIX,,Male,23/07/2019,C9,5,5,,Yes
CLASS:y,,Female,5/05/2022,Universal,7,7,,Yes
CLC,,Female,19/03/2015,Cube,5,5,Chesire,Hiatus
CMDM,,Male,27/04/2023,Command the M,6,6,,Yes
CNBLUE,,Male,14/01/2010,FNC,4,4,Boice,Yes
CoCoSoRi,,Female,5/01/2016,MOLE,2,2,,No
CRAVITY,,Male,14/04/2020,Starship,9,9,,Yes
CRAXY,,Female,3/03/2020,SAITEINMENT,5,5,,Yes
Crayon Pop,,Female,18/07/2012,Chrome,4,5,,No
C-REAL,,Female,11/10/2011,NAP,3,5,,No
CROSS GENE,,Male,8/07/2012,Amuse,5,6,Chromosome,Yes
CSR,,Female,27/07/2022,A2Z,7,7,Maeum,Yes
D.COY,,Male,19/02/2020,Rolling,5,5,,Yes
D.Holic,,Female,29/10/2014,H.Mate,4,5,,No
D1CE,,Male,1/08/2019,Happyface,5,5,Don1y,Yes
Dal Shabet,,Female,3/01/2011,Happy Face,4,6,Darling,Hiatus
Dalmatian,DMTN,Male,1/09/2010,Monkey Funch,7,7,Dalmate,No
Davichi,,Female,4/02/2008,CJ E&M,2,2,,Yes
DAY6,,Male,7/09/2015,JYP,5,6,,Yes
D-Crunch,,Male,6/08/2018,All-S,9,9,,Yes
Destiny,,Female,28/09/2018,D-SIDE,4,4,,Yes
DIA,,Female,14/07/2015,MBK,6,7,AID,Yes
DKB,Darkbee,Male,3/02/2020,Brave,9,9,,Yes
DONGKIZ,,Male,24/04/2019,Dongyo,5,5,,Yes
Dorothy,,Female,16/08/2016,Leek Mill,3,5,,No
DreamCatcher,,Female,13/01/2017,Happy Face,7,7,,Yes
Dreamnote,,Female,7/11/2018,iME,6,8,,Yes
DRIPPIN,,Male,26/10/2020,Woollim,7,7,,Yes
D-Unit,,Female,1/08/2012,D-Business,2,3,Unique,No
Dustin,,Male,6/01/2020,LPA,7,7,The Sten,Yes
E'LAST,,Male,9/06/2020,E Entertainment,8,8,,Yes
ENHYPEN,,Male,30/11/2020,Be:lift,7,7,ENGENE,Yes
ENOi,,Male,19/04/2019,KITHEWHALE,7,7,,No
EPEX,,Male,8/06/2021,C9,8,8,ZENITH,Yes
Episode,,Female,4/02/2020,Pops,5,5,,Yes
Everglow,,Female,18/03/2019,Yuehua,6,6,,Yes
EvoL,,Female,10/08/2012,Stardom,5,5,Voller,No
EXID,,Female,16/02/2012,Yedang,5,6,LEGO,Hiatus
EXO,,Male,8/04/2012,SM,9,12,EXO-L,Yes
f(x),,Female,5/09/2009,SM,4,5,MeU,No
F.able,,Male,4/06/2020,Haerium,5,5,,Yes
FANATICS,,Female,6/08/2019,FENT,8,6,,Yes
Favorite,,Female,5/07/2017,Astory,6,6,,Yes
Fiestar,,Female,31/08/2012,LOEN,5,6,Let's,No
FIFTY FIFTY,,Female,18/11/2022,ATTRAKT,4,4,Hunnies,Yes
FLAVOR,,Female,26/11/2018,FENT,3,3,,No
Fly to the Sky,,Male,21/11/1999,SM| H2,2,2,Fly High,Yes
fromis_9,,Female,24/01/2018,Off The Record,9,9,,Yes
FTISLAND,,Male,7/06/2007,FNC,4,5,Primadonna,Yes
F-ve Dolls,5Dolls,Female,20/01/2011,MBK,6,5,,No
g.o.d.,,Male,26/01/1999,JYP| SidusHQ,5,5,Fan God,Yes
Gavy NJ,,Female,11/11/2005,Good Fellas,3,3,,Yes
Gawi Bawi Bo,GBB,Female,1/05/2018,LOUDers,5,5,,Yes
GeeGu,,Female,26/10/2017,NOS,7,9,,No
Gfriend,,Female,15/01/2015,Source,6,6,Buddy,No
Ghost9,,Male,23/09/2020,Maroo,7,9,,Yes
GI,Global Icon,Female,3/04/2013,Simtong,3,5,,No
Girlkind,,Female,16/01/2018,Nextlevel,5,5,,Yes
Girl's Day,GsD,Female,9/07/2010,DreamT,4,5,Dai5y,Hiatus
Girls' Generation,SNSD,Female,5/08/2007,SM,5,9,SONE,Yes
Girls Girls,,Female,9/12/2015,H Brothers,4,5,,No
Girls' World,,Female,20/06/2002,Liz,4,4,Sweipi,Yes
GLAM,,Female,16/07/2012,Big Hit,4,4,,No
Golden Child,,Male,28/08/2017,Woollim,10,11,,Yes
Good Day,,Female,30/08/2017,C9,10,10,,No
GOT7,,Male,16/01/2014,JYP,7,7,I GOT7,Hiatus
